FGHz,S11dB,S11deg,S21dB,S21deg
13.45,-0.004503585105800555,150.6075100336605,-29.84451096926872,60.60751003366051
13.5,-0.004264793119373108,149.0555005230945,-30.080995646601263,59.05550052309449
13.55,-0.004039871402058465,147.50388213952303,-30.316187484249873,57.50388213952303
13.6,-0.0038278247574794594,145.95237648540302,-30.55023641456032,55.95237648540299
13.65,-0.0036277401196602374,144.4007136949005,-30.783295177222527,54.400713694900524
13.7,-0.003438778996576034,142.848631990412,-31.015519734210248,52.84863199041212
13.75,-0.003260170695591022,141.29587727712655,-31.247069702410432,51.295877277126564
13.8,-0.0030912062432354812,139.7422027728045,-31.478108805745148,49.74220277280462
13.85,-0.0029312329223531905,138.187368670165,-31.7088053487849,48.18736867016508
13.9,-0.0027796493585551954,136.63114182943053,-31.93933271462388,46.63114182943055
13.95,-0.002635901095539613,135.07329549866847,-32.169869890888435,45.073295498668486
14.0,-0.0024994766055951995,133.513609059632,-32.4006020290465,43.513609059631975
14.05,-0.002369903687361958,131.95186779680853,-32.63172104410056,41.951867796808585
14.1,-0.002246746208108885,130.3878626874065,-32.86342626374596,40.387862687406475
14.15,-0.002129601152643629,128.82139021003204,-33.09592513815181,38.821390210032035
14.2,-0.002018095945454784,127.252252169978,-33.329434023256745,37.25225216997791
14.25,-0.0019118860169782628,125.68025553920347,-33.56417905196612,35.68025553920342
14.3,-0.001810652589073746,124.10521230943951,-33.8003971080282,34.1052123094395
14.35,-0.001714100658415852,122.52693935719104,-34.03833691778767,32.526939357191075
14.4,-0.0016219571599038357,120.94525831980201,-34.278260274517926,30.94525831980191
14.45,-0.0015339692949280798,119.35999548201858,-34.52044340969677,29.359995482018494
14.5,-0.001449903010616733,117.770981673016,-34.76517852794371,27.770981673015967
14.55,-0.0013695416193927551,116.17805217319554,-35.01277551892258,26.178052173195564
14.6,-0.001292684545964668,114.581046631117,-35.263563870732305,24.581046631116912
14.65,-0.0012191461923174126,112.9798089896945,-35.51789480589886,22.979808989694547
14.7,-0.0011487549096639012,111.37418742124052,-35.77614367250486,21.374187421240375
14.75,-0.001081352067357907,109.76403427040755,-36.03871262906415,19.76403427040749
14.8,-0.0010167912090214442,108.14920600396556,-36.30603367131924,18.14920600396561
14.85,-0.0009549372868016537,106.529563166139,-36.57857206010223,16.529563166139088
14.9,-0.0008956659652670997,104.90497033815356,-36.85683022213326,14.904970338153406
14.95,-0.0008388629872745275,103.2752961005465,-37.14135221110152,13.275296100546441
