Freq (GHz),s11dB,s11phs,s21db,s21phs
4.002,-2.02509E-14,51.00000564,-33.44115622,-39.97748804
4.021,2.31439E-14,50.35760284,-33.35682375,-40.57637952
4.04,1.92865E-15,49.71519516,-33.27245614,-41.17611916
4.059,-2.50725E-14,49.07277761,-33.18804957,-41.77671434
4.078,2.12152E-14,48.43034495,-33.10360024,-42.37817233
4.097,2.12152E-14,47.78789166,-33.01910429,-42.98050031
4.116,-3.08585E-14,47.14541199,-32.9345579,-43.58370535
4.135,1.54292E-14,46.50289989,-32.84995723,-44.18779444
4.154,1.73579E-14,45.86034908,-32.76529841,-44.79277447
4.173,7.71462E-15,45.21775302,-32.68057759,-45.39865224
4.192,3.66444E-14,44.57510492,-32.59579088,-46.00543447
4.211,3.85731E-15,43.93239771,-32.51093441,-46.61312779
4.23,-4.05018E-14,43.2896241,-32.42600428,-47.22173878
4.249,-3.18228E-14,42.64677652,-32.34099659,-47.83127391
4.268,-7.71462E-15,42.00384719,-32.25590741,-48.4417396
4.287,-1.25363E-14,41.36082803,-32.17073283,-49.05314219
4.306,0,40.71771075,-32.08546889,-49.66548796
4.325,1.54292E-14,40.07448679,-32.00011165,-50.27878314
4.344,1.15719E-14,39.43114735,-31.91465713,-50.89303388
4.363,-2.12152E-14,38.78768339,-31.82910136,-51.50824629
4.382,-2.21795E-14,38.14408562,-31.74344035,-52.12442641
4.401,4.82164E-14,37.50034448,-31.65767008,-52.74158026
4.42,1.15719E-14,36.8564502,-31.57178653,-53.35971379
4.439,-2.70012E-14,36.21239273,-31.48578566,-53.97883292
4.458,1.35006E-14,35.5681618,-31.39966341,-54.59894353
4.477,4.62877E-14,34.92374687,-31.31341573,-55.22005145
4.496,1.73579E-14,34.27913716,-31.2270385,-55.84216251
4.515,-3.66444E-14,33.63432164,-31.14052764,-56.46528248
4.534,5.40023E-14,32.98928903,-31.05387902,-57.08941712
4.553,-4.05018E-14,32.3440278,-30.9670885,-57.71457217
